"A", "Vetiquette", "Anna Karlhede, F-14", ""
"σ19.4", "Ingen vet ju vad jag gör", "Ebba Ahlgren, F-15, Tentagasque 1: Tentapokalyps", "Ingen vill veta var du köpt din tröja"
"σ19.5", "Skyddsrumsboogie", "Filip af Malmborg, F-17, Tentagasque 1: Tentapokalyps", "Av Cornelis Vreeswijk"
"σ19.6", "Triangel", "Nicole Hedblom, F-17, Tentagasque 2: Midsommar", "Pippis sommarvisa"
"σ19.7", "Physics Medley", "Harald Bjurulf, F-18, Tentagasque 3: Mars & Mello", ""
"σ19.8", "Tjo va dé va livat i Kons", "Filip af Malmborg, F-17, Tentagasque 3: Mars & Mello", "Tjo va dé va livat i holken"
"σ19.9", "En kväll i juli", "Jakob Stymne, F-17, Tentagasque 4: Skandal!", "En kväll i juli"
"σ19.10", "Fysikmedley", "Julia Schauman, F-17, Tentagasque 4: Skandal!", ""
"σ19.11", "Fysikalenmåsen", "Philip Broms, F-15, Fysikalens Slutfest 2018", "Månvisa"
"σ19.12", "En gaffa kort", "Teknikgruppen, Fysikalens Slutfest 2018", "En gaffel kort"
"σ19.13", "Systéme Fruktinationale", "Hanna Kylhammar, F-17, Open-gasquen 2018", "Studentsången"
"σ19.14", "Plan i grus", "Helmer Nylén, F-15, och Hanna Kylhammar, F-17
Mottagningens Vårfest 2019", "Stad i ljus"
"σ18.1", "Han är Leo", "Klubbishörnan, Stuggasquen 2017", "Hallelujah"
"σ18.2", "South Australia", "Nicolas Reichel, F-16 \ Stuggasquen 2017", "F: Försångare
A: Alla"
"σ18.3", "Brev från nØllan", "nØllegasquen 2017", "Brev från kolonien"
"σ18.5", "En gaffel kort", "Filip af Malmborg & Julia Schauman, nØllegasquen 2017", ""
"σ18.6", "Leos spritvisa", "Helmer Nylén, F-15", "Snickerboa"
"σ18.7", "Skål för Leo", "Helmer Nylén, F-15", "Rule Britannia"
"σ18.8", "Potters visa", "Adam Erlandsson & Filip af Malmborg, F-17
 TG2: Gasqaban", "You can't get a man with a gun"
"σ18.9", "Hogwartshatarvisan", "Adam Erlandsson & Filip af Malmborg, F-17
 TG2: Gasqaban", "Åh, hur saligt att få vandra"
"σ18.10", "Strejk på Tuborg", "TG3: Dansk Gasque", "I natt jag drömde"
"σ18.11", "Omtentan", "Anton Åkesson, F-14, TG4: Fåsk", "Olyckan"
"σ18.12", "När jag tar examen", "Ksenia Loskutova, F-13, TG4: Fåsk", "When I'm Sixty-four"
"σ18.13", "Emils slaktarvisa", "Slaktargasquen '62", "When I'm Sixty-four"
"σ18.14", "Emils slaktarvisa", "Teknikgruppen, Fysikalens slutfest 2018", "Bögarnas fel"
"σ18.15", "Kung Filips båtlåt", "Olof Bergvall", "Boten Anna"
"σ18.16", "Det här blir ju en örnkrasch", "nØllespexets manusgrupp 2017", "Det här är bara början"
"σ18.17", "Vi ska gå", "Adam Erlandsson, F-17", "Shoreline"
"σ18.18", "Ekholmen", "Filip af Malmborg & Yashar Honarmandi, F-17", "Månvisa"
"σ18.19", "Livet innan derivata", "Erik Rydving, F-16 
 FRums Julmiddag 2017", "Mor, jeg vill tilbake"
"σ18.20", "Ode to John", "Tillägnad han som har problem med skrivaren i M. 
 Mottagningens vårfest 2018", "Snickerboa"
